feature,go_term,held_auc,raw_best,rand_best,margin,coherence,reasoning_caption
14036,transcription regulator activity,0.804,0.781,0.81,-0.006,0.45,nucleus · transcription · nuclear · DNA-binding · chromat · polymerase
7595,transcription regulator activity,0.803,0.781,0.81,-0.007,0.2,transcription · nucleus · nuclear · DNA-binding · polymerase · chromat
32695,kinase activity,0.803,0.842,0.864,-0.061,0.0,polymerase
36380,kinase activity,0.803,0.842,0.864,-0.06,0.0,
39784,kinase activity,0.803,0.842,0.864,-0.061,0.0,channel · metabolism · phosphatase · transferase · atpase · redox
30180,transmembrane transporter activity,0.802,0.757,0.811,-0.009,0.2,transport · channel · extracellular · proton
31386,kinase activity,0.802,0.842,0.864,-0.062,0.4,
36808,kinase activity,0.802,0.842,0.864,-0.062,0.2,kinase · phosphatase · cytoskeleton
9843,transcription regulator activity,0.801,0.781,0.81,-0.009,0.1,nuclear · nucleus · transcription · chromat · polymerase
28526,kinase activity,0.801,0.842,0.864,-0.063,0.45,
13570,kinase activity,0.8,0.842,0.864,-0.063,0.0,channel · transferase · mitochondrion
31630,transcription regulator activity,0.8,0.781,0.81,-0.01,0.25,
6330,oxidoreductase activity,0.799,0.838,0.841,-0.042,0.0,
36586,kinase activity,0.799,0.842,0.864,-0.065,0.05,
37970,kinase activity,0.799,0.842,0.864,-0.065,0.0,
4161,oxidoreductase activity,0.798,0.838,0.841,-0.043,0.15,metabolism · redox
40635,kinase activity,0.798,0.842,0.864,-0.066,0.55,kinase · phosphatase
7441,kinase activity,0.797,0.842,0.864,-0.067,0.55,
12498,transcription regulator activity,0.797,0.781,0.81,-0.013,0.15,
19504,oxidoreductase activity,0.797,0.838,0.841,-0.044,0.1,metabolism · secret
16060,transcription regulator activity,0.795,0.781,0.81,-0.016,0.25,nucleus · nuclear · transcription · chromat · DNA-binding · polymerase
18189,kinase activity,0.795,0.842,0.864,-0.069,0.0,kinase
6156,oxidoreductase activity,0.794,0.838,0.841,-0.047,0.15,metabolism · channel · transferase · reductase · redox
25264,transcription regulator activity,0.794,0.781,0.81,-0.017,0.0,nucleus · transcription · nuclear · chromat · polymerase · translation
26592,kinase activity,0.794,0.842,0.864,-0.069,0.25,
7930,kinase activity,0.792,0.842,0.864,-0.072,0.0,
18402,kinase activity,0.792,0.842,0.864,-0.072,0.0,
29070,transcription regulator activity,0.792,0.781,0.81,-0.019,0.35,
29199,transcription regulator activity,0.792,0.781,0.81,-0.018,0.45,transcription · nucleus · nuclear · develop · chromat · polymerase
35459,transcription regulator activity,0.792,0.781,0.81,-0.018,0.05,
5943,transcription regulator activity,0.791,0.781,0.81,-0.019,0.05,cytoskeleton · translation
8206,kinase activity,0.791,0.842,0.864,-0.072,0.0,
10177,transcription regulator activity,0.791,0.781,0.81,-0.019,0.1,nucleus · transcription · nuclear · chromat · polymerase · translation
32312,oxidoreductase activity,0.79,0.838,0.841,-0.051,0.0,nucleus · nuclear · transcription · actin · polymerase · chromat
9743,transcription regulator activity,0.789,0.781,0.81,-0.021,0.1,nucleus · transcription · nuclear · chromat · develop · polymerase
11852,oxidoreductase activity,0.789,0.838,0.841,-0.052,0.0,metabolism · channel · phosphatase · transferase · redox · reductase
3857,kinase activity,0.788,0.842,0.864,-0.075,0.2,transferase · translation · ribosom · atpase
23429,transcription regulator activity,0.788,0.781,0.81,-0.022,0.3,
31060,transcription regulator activity,0.788,0.781,0.81,-0.022,0.1,
38072,transmembrane transporter activity,0.788,0.757,0.811,-0.022,0.0,
1018,transcription regulator activity,0.787,0.781,0.81,-0.023,0.1,nucleus · nuclear · transcription · chromat · polymerase
15756,oxidoreductase activity,0.787,0.838,0.841,-0.055,0.15,
2533,transcription regulator activity,0.786,0.781,0.81,-0.024,0.0,nucleus · nuclear · transcription · kinase · chromat · develop
10741,transcription regulator activity,0.786,0.781,0.81,-0.024,0.2,
19362,transcription regulator activity,0.786,0.781,0.81,-0.025,0.2,
23687,kinase activity,0.786,0.842,0.864,-0.077,0.0,
24564,transcription regulator activity,0.786,0.781,0.81,-0.024,0.15,
29407,kinase activity,0.786,0.842,0.864,-0.077,0.1,phosphatase · kinase · translation · gtpase
6345,transcription regulator activity,0.785,0.781,0.81,-0.025,0.05,nuclear · transcription · polymerase · develop · chromat
24233,transcription regulator activity,0.785,0.781,0.81,-0.026,0.05,
12490,kinase activity,0.784,0.842,0.864,-0.079,0.0,
12958,oxidoreductase activity,0.784,0.838,0.841,-0.058,0.0,
21307,kinase activity,0.784,0.842,0.864,-0.079,0.0,
36535,transcription regulator activity,0.784,0.781,0.81,-0.026,0.3,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding
19171,transcription regulator activity,0.783,0.781,0.81,-0.027,0.25,
27835,kinase activity,0.783,0.842,0.864,-0.081,0.05,
34274,transcription regulator activity,0.783,0.781,0.81,-0.027,0.15,
4102,oxidoreductase activity,0.782,0.838,0.841,-0.059,0.35,metabolism
33916,transcription regulator activity,0.782,0.781,0.81,-0.029,0.2,
8504,hydrolase activity,0.781,0.738,0.755,0.026,0.6,
13119,transcription regulator activity,0.781,0.781,0.81,-0.029,0.15,nucleus · nuclear · chromat · polymerase · DNA-binding
13683,kinase activity,0.781,0.842,0.864,-0.082,0.0,
18923,kinase activity,0.781,0.842,0.864,-0.083,0.35,
29196,transcription regulator activity,0.781,0.781,0.81,-0.029,0.2,
34078,hydrolase activity,0.781,0.738,0.755,0.027,0.25,phosphatase · atpase · helicase
36334,kinase activity,0.781,0.842,0.864,-0.083,0.35,
825,transcription regulator activity,0.78,0.781,0.81,-0.03,0.45,nucleus · transcription · nuclear · DNA-binding · chromat · polymerase
4114,transmembrane transporter activity,0.78,0.757,0.811,-0.031,0.25,
7474,transcription regulator activity,0.78,0.781,0.81,-0.03,0.1,nucleus · nuclear · chromat
15210,transcription regulator activity,0.78,0.781,0.81,-0.03,0.05,nucleus · nuclear · transcription · chromat · develop · DNA-binding
10098,kinase activity,0.779,0.842,0.864,-0.085,0.0,extracellular
25580,kinase activity,0.779,0.842,0.864,-0.085,0.45,
34153,kinase activity,0.779,0.842,0.864,-0.085,0.0,
863,kinase activity,0.778,0.842,0.864,-0.086,0.1,
7532,oxidoreductase activity,0.778,0.838,0.841,-0.064,0.05,transferase · mitochondrion
11783,kinase activity,0.778,0.842,0.864,-0.086,0.0,channel · ribosom · translation
27708,transcription regulator activity,0.778,0.781,0.81,-0.032,0.35,transcription · nucleus · nuclear · DNA-binding · chromat · polymerase
29047,kinase activity,0.778,0.842,0.864,-0.086,0.0,
36071,hydrolase activity,0.778,0.738,0.755,0.023,0.3,metabolism · phosphatase · transferase · redox · mitochondrion
37226,transcription regulator activity,0.778,0.781,0.81,-0.032,0.0,metabolism · transferase · channel · phosphatase
1332,kinase activity,0.777,0.842,0.864,-0.087,0.0,
