feature_id,band_class,fusion_class,go_label,go_auc,crossmodal_omega,crossmodal_pair,protein_frac,go_frac,text_frac,activation_freq,mean_activation,max_activation,n_proteins_active
8704,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0135,4.5866,13.334,300
8703,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0012,7.8838,10.7083,300
8702,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0006,9.2003,10.8072,300
8701,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0021,5.949,21.1835,292
8700,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.2572,2.8801,4
8699,text-heavy,unimodal,none,0.0,0.0,none,0.0042,0.0,0.9958,0.0102,3.4343,7.1257,300
8710,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0038,5.4645,14.256,299
8817,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0035,4.6902,10.5454,300
8818,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0017,3.1412,5.194,274
8819,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.6973,3.087,2
8820,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0004,3.0638,5.1936,210
8821,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0009,7.7491,19.1455,298
8822,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0029,2.95,4.5457,300
8823,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0052,3.3817,5.815,297
8824,text-heavy,unimodal,none,0.0,0.0,none,0.0003,0.0,0.9997,0.0176,3.3921,5.7197,300
8826,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0021,8.541,18.5735,300
8827,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0094,9.2278,28.2715,300
8829,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0067,5.6414,27.0748,300
8830,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,3.1095,4.1787,17
8831,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0008,3.3815,6.8854,237
8832,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0002,2.4274,5.0021,181
8833,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0063,6.6165,21.6572,300
8765,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0011,8.0094,30.0433,300
8854,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.001,3.4038,4.9303,176
8853,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.0206,2.0571,2
8852,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0118,3.4773,5.8561,300
8851,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0031,6.3697,17.5592,279
8850,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0011,6.3251,7.4528,300
8848,text-heavy,unimodal,none,0.0,0.0775,protein-text,0.0952,0.0,0.9048,0.0041,3.1927,5.0023,299
